tube_or_well_id,biosample_accession,run_accession,flowcell_lane_index,rg_id,rg_sm,rg_lb,rg_pl,rg_pu,read1_filename,read2_filename
TRIDUBI-P02_S09,SAMEA120250341,ERR15812255,EKDN250010430-1A_22TTYMLT4_L2,P2S9.EKDN250010430-1A.22TTYMLT4.L2,P2S9,P2S9_lib1,MGI,EKDN250010430-1A.22TTYMLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812255_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812255_2.fastq.gz
TRIDUBI-P02_S11,SAMEA120250340,ERR15812256,EKDN250010431-1A_22TTYMLT4_L2,P2S11.EKDN250010431-1A.22TTYMLT4.L2,P2S11,P2S11_lib1,MGI,EKDN250010431-1A.22TTYMLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812256_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812256_2.fastq.gz
TRIDUBI-P02_S12,SAMEA120250339,ERR15812257,EKDN250010432-1A_22TTWGLT4_L2,P2S12.EKDN250010432-1A.22TTWGLT4.L2,P2S12,P2S12_lib1,MGI,EKDN250010432-1A.22TTWGLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812257_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812257_2.fastq.gz
TRIDUBI-P02_S12,SAMEA120250339,ERR15812258,EKDN250010432-1A_22TTYMLT4_L2,P2S12.EKDN250010432-1A.22TTYMLT4.L2,P2S12,P2S12_lib1,MGI,EKDN250010432-1A.22TTYMLT4.L2,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812258_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812258_2.fastq.gz
TRIDUBI-P03_S01,SAMEA120250338,ERR15812259,EKDN250010433-1A_22TTW2LT4_L8,P3S1.EKDN250010433-1A.22TTW2LT4.L8,P3S1,P3S1_lib1,MGI,EKDN250010433-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812259_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812259_2.fastq.gz
TRIDUBI-P03_S01,SAMEA120250338,ERR15812260,EKDN250010433-1A_22TV53LT4_L8,P3S1.EKDN250010433-1A.22TV53LT4.L8,P3S1,P3S1_lib1,MGI,EKDN250010433-1A.22TV53LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812260_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812260_2.fastq.gz
TRIDUBI-P03_S02,SAMEA120250337,ERR15812261,EKDN250010434-1A_22TTW2LT4_L8,P3S2.EKDN250010434-1A.22TTW2LT4.L8,P3S2,P3S2_lib1,MGI,EKDN250010434-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812261_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812261_2.fastq.gz
TRIDUBI-P03_S03,SAMEA120250336,ERR15812262,EKDN250010435-1A_22TTW2LT4_L8,P3S3.EKDN250010435-1A.22TTW2LT4.L8,P3S3,P3S3_lib1,MGI,EKDN250010435-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812262_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812262_2.fastq.gz
TRIDUBI-P03_S04,SAMEA120250335,ERR15812263,EKDN250010436-1A_22TTW2LT4_L8,P3S4.EKDN250010436-1A.22TTW2LT4.L8,P3S4,P3S4_lib1,MGI,EKDN250010436-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812263_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812263_2.fastq.gz
TRIDUBI-P03_S05,SAMEA120250334,ERR15812264,EKDN250010437-1A_22TTW2LT4_L8,P3S5.EKDN250010437-1A.22TTW2LT4.L8,P3S5,P3S5_lib1,MGI,EKDN250010437-1A.22TTW2LT4.L8,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812264_1.fastq.gz,/home/people/22211215/scratch/genuspopgen/00-data/raw/ERR15812264_2.fastq.gz
