Sample	X_reads	Y_reads	Species	Read_ratio	Sex	Y_cov	X_cov	Cov_ratio	Group	Nr
LE_Mjo_14	15267	6296	LE	0.41239274251653896	M	0.028140481790435472	0.016940345660723857	1.661151569987093	LE_Mjo	14
LE_Mjo_215	37356	969	LE	0.025939608095085127	F	0.004331023960440275	0.041450419368703764	0.10448685505243212	LE_Mjo	215
LE_Mjo_291	41340	997	LE	0.024117077890662798	F	0.00445617222761502	0.04587108728724204	0.09714555488320416	LE_Mjo	291
LE_Mjo_562	41958	711	LE	0.016945516945516947	F	0.0031778720700444125	0.04655682342520807	0.06825792303354962	LE_Mjo	562
LE_Mjo_574	21528	9523	LE	0.44235414344109997	M	0.04256381958232481	0.023887585077884535	1.7818385342656926	LE_Mjo	574
LE_Mjo_89	32032	794	LE	0.024787712287712288	F	0.00354884729059812	0.03554288021250453	0.09984692488003777	LE_Mjo	89
LE_Mjo_93	35332	1068	LE	0.030227555756821012	F	0.004773512476522409	0.03920457803659497	0.1217590576301227	LE_Mjo	93
LE_Oulu_151	20569	1077	LT	0.0523603480966503	F	0.004813738705257148	0.02282347349809583	0.21091174862839174	LE_Oulu	151
LE_Oulu_152	13934	10024	LT	0.7193914166786278	M	0.04480307964855863	0.015461241660871568	2.8977672447836915	LE_Oulu	152
LE_Oulu_153	35204	553	LE	0.01570844222247472	F	0.00247167827670121	0.0390625485452363	0.06327488524817801	LE_Oulu	153
LE_Oulu_154	14201	7795	LE	0.5489050066896698	M	0.03484038366525485	0.01575750630300252	2.2110340935491912	LE_Oulu	154
LE_Oulu_337	15262	9098	LE	0.5961210850478312	M	0.040664247669851	0.01693479763371766	2.401224304498764	LE_Oulu	337
LE_Oulu_338	15967	9071	LE	0.5681092252771341	M	0.040543568983646784	0.017717069441591526	2.288390250843017	LE_Oulu	338
LE_Oulu_339	13276	8036	LE	0.6053028020488099	M	0.035917552679151754	0.014731121306855959	2.4382090087355057	LE_Oulu	339
LE_Oulu_342	18539	12436	LE	0.6708020928852689	M	0.0555837089494688	0.02057097453357959	2.702045489324544	LE_Oulu	342
LE_Oulu_344	17655	301	LE	0.017048994619088077	F	0.0013453438721285065	0.019590083358883847	0.06867473953439869	LE_Oulu	344
LE_Oulu_345	36939	663	LE	0.017948509705189637	F	0.002963332183459136	0.040987713916386885	0.07229805959669285	LE_Oulu	345
LE_Oulu_346	2920	163	LE	0.05582191780821918	F	7.285416981958358e-4	0.0032400477716194183	0.22485523348678932	LE_Oulu	346
LE_Oulu_365	22022	14156	LT	0.6428117337208247	M	0.06327138821877455	0.02443573014609686	2.5892980418627247	LE_Oulu	365
LE_Oulu_457	15662	10429	LE	0.6658791980589963	M	0.04661325994162191	0.01737863979421347	2.6822156678304956	LE_Oulu	457
LE_Oulu_54	11055	8942	LE	0.8088647670737223	M	0.039966993038448854	0.012266687710702969	3.2581731907609197	LE_Oulu	54
LE_Oulu_604	36820	660	LE	0.017925040738728953	F	0.002949923440547556	0.04085567087363938	0.07220352468745987	LE_Oulu	604
LE_Oulu_63	33364	648	LE	0.01942213163889222	F	0.0028962884689012367	0.03702087460695557	0.07823392882125683	LE_Oulu	63
LE_Oulu_77	25247	645	LE	0.025547589812651008	F	0.002882879725989657	0.028014207565094335	0.1029077734678357	LE_Oulu	77
LE_Oulu_777	13661	704	LE	0.05153356269672791	F	0.0031465850032507264	0.015158319386333177	0.2075813896682837	LE_Oulu	777
LE_Oulu_92	16641	11737	LE	0.7053061715041163	M	0.0524594718510707	0.018464943482026968	2.841030729508197	LE_Oulu	92
LE_Val_278	21762	11208	LE	0.5150261924455473	M	0.05009506351766213	0.024147232741774584	2.0745674692155487	LE_Val	278
LE_Val_279	48055	1031	LE	0.02145458328998023	F	0.004608137980612924	0.053322087556565465	0.0864208096827509	LE_Val	279
LE_Val_280	48017	1564	LE	0.03257179748838953	F	0.006990424637903602	0.05327992255131836	0.13120185434148365	LE_Val	280
LE_Val_284	27031	16413	LE	0.6071917428138064	M	0.07335923246925308	0.02999374360090565	2.4458178160540793	LE_Val	284
LE_Val_286	26998	15704	LE	0.5816727164975183	M	0.07019029956114972	0.029957126622664747	2.3430250986770425	LE_Val	286
LE_Val_30	5831	2390	LE	0.4098782370090894	M	0.010682298519558573	0.0064701090946276815	1.6510229369128249	LE_Val	30
LE_Val_31	28664	870	LE	0.03035166061959252	F	0.0038885354443581417	0.0318057292211298	0.12225896212984276	LE_Val	31
LE_Val_32	32666	789	LE	0.024153554154166413	F	0.0035264993857454874	0.03624637003689039	0.09729248424480383	LE_Val	32
LE_Val_33	15364	9515	LE	0.6193048685238219	M	0.042528062934560594	0.01704797738464409	2.4946104734317402	LE_Val	33
LE_Val_34	19918	11321	LE	0.5683803594738428	M	0.05060012616733164	0.022101120381888897	2.289482401480275	LE_Val	34
LE_Val_37	45987	1331	LE	0.028942962141474765	F	0.0059490122717709044	0.05102742358680212	0.1165846098745533	LE_Val	37
LE_Val_6	11961	5645	LE	0.471950505810551	M	0.025230784578622656	0.01327199020422598	1.9010550934997552	LE_Val	6
LE_Val_920	30761	795	LE	0.025844413380579304	F	0.0035533168715686466	0.03413257174752909	0.10410340298562112	LE_Val	920
LE_Val_921	26794	11108	LE	0.4145704262148242	M	0.04964810542060947	0.029730767120811883	1.6699234573686872	LE_Val	921
LE_Val_922	8637	3492	LE	0.40430705105939563	M	0.015607776749078886	0.009583661850505793	1.6285817459487222	LE_Val	922
LE_Val_925	3377	186	LE	0.055078472016582766	F	8.313420605179475e-4	0.003747137439985882	0.22186057325964528	LE_Val	925
