Sample #	Day	Month	Year	Place	ETRS-TM 35FIN		Cause of Death	Hunter's evaluation		Sex	Age	Sender	Notes	Tissue -80 deg	Extracted DNA -20 deg	Purified DNA	MtDNA	Results checked	Nuclear DNA					NGS/Vienna	SNP chip/Sweden
					N	E		Species	Code 1-5								Cytb		Tshd	Tg	Mgf	Sptbn1	Prck1		
79	20	6	2013	Kitee	6889664	664393		LE	5			Evira	E20130626-028	1	1		LE	1							
80	17	5	2013	Maaninka	7003497	515743		LT	1			Evira	E20130521-073	1	1		LT	1							
81	8	10	2013	Hailuoto	7211365	392117		LT	1			Evira	E20131010-047	1	1		LT	1							1
82	12	10	2013	Kitee	6889664	664393		LT	1			Evira	E20131016-041	1	1		LT	1							1
83	6	8	2013	Lappeenranta	6769424	563267		LE	5			Evira	E20130808-022	1	2	1	LT	1							1
84			2013	Varkaus	6909918	545452		LE	5			Evira	E20131007-044	1	1		LT	1							
85	10	10	2013	Savonlinna	6861104	598799		LE	5			Evira	E20131016-034	1	1		LE	1							
86	29	9	2013	Mäntyharju	6810666	492770		LE	5			Evira	E20131002-122	1	2	1	X	1							
87	27	8	2013	Kontiolahti	6962774	645191		LE	5			Evira	E20130830-031	1	1		LE	1							
88	14	9	2013	Kotka	6703257	496763		LE	5			Evira	E20130917-109	1	1		LE	1							
89			2013	Kemiönsaari	6677169	264237		LE	5			Evira	E20130521-127	1	1		LE	1							
90			2013	Vieremä	7069149	500761		LE	5			Evira	E20130305-020	1	1		LE	1							
91	3	3	2013	Pieksämäki	6907453	508063		LE	5			Evira	E20130314-028	1	1		LE	1							
92			2013	Oulu	7210860	427991		LE	5			Evira	E20130226-020	1	1		LE	1							
93	23	2	2013	Salo	6701088	285993		LE	5			Evira	E20130227-076	1	1		LE	1							
94	23	2	2013	Siilinjärvi	6994816	532103		LE	5			Evira	E20130226-075	1	1		X	1							
95	23	2	2013	Keitele	7005670	466819		LT	1			Evira	E20130228-104	1	1		LT	1							
96	28	9	2013	Pielavesi	7011500	487718		LT	1			Evira	E20131001-112	1	1		LT	1							
97	4	10	2013	Kitee	6889664	664393		LE	5			Evira	E20131009-102	1	1		LE	1							
98	13	10	2013	Kitee	6889664	664393		LE	5			Evira	E20131016-040	1	1		LE	1							
99	21	10	2013	Pori	6827488	224391		LE	5			Evira	E20131023-247	1	1		LE	1							
100			2013	Saarijärvi	6954310	409790		LT	1			Evira	E20130910-027	1	1		LT	1							
101	2	11	2013	Joensuu	6944337	641472		LT	1			Jani Kettunen		1	1		LT	1							
102	3	11	2013	Joensuu	6944337	641472		LT	1			Jani Kettunen		1	1		LT	1							
103	24	8	2013	Joensuu	6944337	641472		LE	5			Mia Valtonen	yliopistokatu	1	1		LE	1							
104	19	10	2013	Ruokolahti, Talkkuna	6810749	575704		LE	5			Toni Tynkkynen		1	1		LE	1							
105	6	11	2013	Ruokolahti, Honkalampi	6816438	406039		LT	1			Toni Tynkkynen		1	1		LT	1							
106	9	11	2013	Joensuu	6944337	641472		LT	1			Jani Kettunen		1	1		LT	1							
107	10	11	2013	Joensuu	6944337	641472		LT	1			Jani Kettunen		1	1		LT	1							
108	23	10	2013	Lieksa, Kivivaara	7057582	658937	hunted	LT	1			040-7596802		1	1		LT	1							
109	24	11	2013	Lieksa, Jamali	7027733	644318	hunted	LT	1			040-7596802		1	1		LT	1							
110	24	10	2013	Lieksa	7023933	650516	hunted	LT	1			040-7596802		1	1		LT	1							
111	31	10	2013	Lieksa, Kivivaara	7057582	658937	hunted	LT	1			040-7596802		1	1		LT	1							
112	4	11	2013	Lieksa, Jamali	7027733	644318	hunted	LT	1			040-7596802		1	1		LT	1							
113	4	11	2013	Lieksa, Jamali	7027733	644318	hunted	LT	1			040-7596802		1	1		LT	1							
114	23	10	2013	Lieksa, Kivivaara	7057582	658937	hunted	LT	1			040-7596802		1	1		LT	1							
115	26	10	2013	Lieksa, Jamali	7027733	644318	hunted	LE	5			040-7596802		1	1	1	LT	1							
116	27	11	2013	Lieksa, Jamali	7027733	644318	hunted	LT	1			040-7596802		1	1		LT	1							
117	5	11	2013	Lieksa, Jamali	7027733	644318	hunted	LT	1			040-7596802		1	1	1	LT	1							
118	5	11	2013	Lieksa, Jamali	7027733	644318	hunted	LT	1			040-7596802		1	1		LT	1							
119	18	11	2013	Taipalsaari, Illukansaari	6779045	550681	hunted	LT	1			Markku Kaulio		1	1		LT	1							
120	6	1	2014	Ilomantsi	6955814	701293	hunted	LT	1			Ismo Pölönen		1	1		LT	1							
121	24	11	2013	Urimolahti, Varpaisjärvi	7025929	537736	hunted	LT	1			Eila Järvinen		1	1		LT	1							
122	24	11	2013	Urimolahti, Varpaisjärvi	7025929	537736	hunted	LT	1			Eila Järvinen		1	1		LT	1							
123	24	11	2013	Urimolahti, Varpaisjärvi	7025929	537736	hunted	LT	1			Eila Järvinen		1	1		LT	1							
124	24	11	2013	Urimolahti, Varpaisjärvi	7025929	537736	hunted	LT	1			Eila Järvinen		1	1		LT	1							
125	6	12	2013	Urimolahti	7024669	545455	hunted	LT	1			Eila Järvinen		1	1		LT	1							
126	6	10	2013	Varpaisjärvi, Ruunakorpi	7024013	543322	hunted	LE	5			Eila Järvinen		1	1		LT	1							
127	29	11	2013	Varpaisjärvi	7025929	537736	hunted	LT	1			Eila Järvinen		1	1		LT	1							
128	24	9	2013	Varpaisjärvi	7025929	537736	hunted	LT	1			Eila Järvinen		1	1		LT	1							
129			2013	Lapinlahti	7025525	518596	hunted	LT	1			Eila Järvinen	Lähettäjä ei ilmoittanut kaikkia tietoja	1	1		LT	1							
130	27	10	2013	Urimolahti, Varpaisjärvi	7025929	537736	hunted	LT	1			Eila Järvinen		1	1		LT	1							
131	27	10	2013	Urimolahti, Varpaisjärvi	7025929	537736	hunted	LT	1			Eila Järvinen		1	1		LT	1							
132	3	11	2013	Lapinlahti, Urimolahti	7024669	545455	hunted	LT	1			Eila Järvinen		1	1		LT	1							
133	3	11	2013	Lapinlahti, Urimolahti	7024669	545455	hunted	LT	1			Eila Järvinen		1	1	1	LT	1							
134	20	10	2013	Lapinlahti, Urimolahti	7024669	545455	hunted	LT	1			Pertti Järvinen		1	1		LT	1							
135	20	10	2013	Lapinlahti, Urimolahti	7024669	545455	hunted	LT	1			Eila Järvinen		1	1		LT	1							
136	6	10	2013	Varpaisjärvi, Ruunakorpi	7024013	543322	hunted	LT	1			Eila Järvinen		1	1		LT	1							
137	26	10	2013	Lapinlahti, Urimolahti	7024669	545455	hunted	LT	1			Pertti Järvinen		1	1		LT	1							
138	7	9	2013	Urimolahti, Varpaisjärvi	7025929	537736	hunted	LT	1			Tommi Järveläinen	Nuori yksilö	1	1		LT	1							
139	20	10	2013	Lapinlahti, Urimolahti	7024669	545455	hunted	LT	1			Pertti Järvinen		1	1		LT	1							
140	30	11	2013	Varpaisjärvi, Ruunakorpi	7024013	543322	hunted	LT	1			Eila Järvinen		1	1		LT	1							
141	21	9	2013	Urimolahti	7024669	545455	hunted	LT	1			Eila Järvinen		1	1		LT	1							
142	26	10	2013	Urimolahti	7024669	545455	hunted	LT	1			Pertti Järvinen		1	1		LT	1							
143	8	11	2013	Varpaisjärvi, Ruunakorpi	7024013	543322	hunted	LT	1			Eila Järvinen		1	1		LT	1							
144	8	11	2013	Varpaisjärvi, Ruunakorpi	7024013	543322	hunted	LT	1			Eila Järvinen	Lähettäjä ei ilmoittanut kaikkia tietoja	1	1	1	LT	1							
145			2013	Lapinlahti	7025525	518596	hunted	LT	1			Eila Järvinen	Lähettäjä ei ilmoittanut kaikkia tietoja	1	1		LT	1							
146			2013	Lapinlahti	7025525	518596	hunted	LT	1			Eila Järvinen	Lähettäjä ei ilmoittanut kaikkia tietoja	1	1		LT	1							
147			2013	Lapinlahti	7025525	518596	hunted	LT	1			Eila Järvinen	Lähettäjä ei ilmoittanut kaikkia tietoja	1	1		LT	1							
148			2013	Lapinlahti	7025525	518596	hunted	LT	1			Eila Järvinen	Lähettäjä ei ilmoittanut kaikkia tietoja	1	1		LT	1							
149			2013	Lapinlahti	7025525	518596	hunted	LT	1			Eila Järvinen	Lähettäjä ei ilmoittanut kaikkia tietoja	1	1		LT	1							
150			2013	Lapinlahti	7025525	518596	hunted	LT	1			Eila Järvinen	Lähettäjä ei ilmoittanut kaikkia tietoja	1			LT	1							
151	29	9	2013	Ala-Temmes	7183186	431133	hunted	LT	3			Hannu Pietiläinen	Oli merkitty LE?	1	1		LE	1							
152	29	9	2013	Ala-Temmes	7183186	431133	hunted	LT	3			Hannu Pietiläinen	Oli merkitty LE?	1	1		LT	1							
153	23	11	2013	Ala-Temmes	7183186	431133	hunted	LE	5			Hannu Pietiläinen		1	1		LE	1							
154	24	11	2013	Ala-Temmes	7183186	431133	hunted	LE	5			Hannu Pietiläinen		1	1		LE	1							
155	5	11	2013	Iisalmi, Viitaa	7051147	517291	hunted	LE	5			Osmo Heikkinen		1	1		LE	1							
156	11	10	2013	Iisalmi, Viitaa	7051147	517291	hunted	LT	2			Osmo Heikkinen		1	1		LT	1							
157	10	11	2013	Iisalmi, Viitaa	7051147	517291	hunted	LE	5			Osmo Heikkinen		1	1		LE	1							
158	10	11	2013	Iisalmi, Viitaa	7051147	517291	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
159	10	11	2013	Iisalmi, Viitaa	7051147	517291	hunted	LT	1			Osmo Heikkinen		1	1		LE	1							1
160	28	10	2013	Vieremä	7069150	500762	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
161	28	10	2013	Vieremä	7069150	500762	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
162	28	10	2013	Vieremä	7069150	500762	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
163	11	10	2013	Iisalmi, Viitaa	7051147	517291	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
164	11	10	2013	Iisalmi, Viitaa	7051147	517291	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
165	12	11	2013	Vieremä	7069150	500762	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
166	12	11	2013	Vieremä	7069150	500762	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
167	2	11	2013	Iisalmi, Viitaa	7051147	517291	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
168	2	11	2013	Iisalmi, Viitaa	7051147	517291	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
169	2	11	2013	Iisalmi, Viitaa	7051147	517291	hunted	LT	1			Osmo Heikkinen		1	1		LT	1							
170	2	11	2013	Iisalmi, Viitaa	7051147	517291	hunted	LT	1			Osmo Heikkinen		1	1	1	LT	1							
171			2013	Puumala, Lieviskä	6825098	591705	hunted	LT	1			Osmo Siilin		1	1		LT	1							
172			2013	Puumala, Lieviskä	6825098	591705	hunted	LT	1			Osmo Siilin		1	1		LT	1							
173			2013	Puumala, Lieviskä	6825098	591705	hunted	LT	1			Osmo Siilin		1	2	1	LT	1							
174			2013	Puumala, Lieviskä	6825098	591705	hunted	LT	1			Osmo Siilin		1	1		LT	1							
175			2013	Ruokolahti, Virtoinmäki	6810674	578252	hunted	LT	1			Osmo Siilin		1	1		X	1							
176			2013	Ruokolahti, Virtoinmäki	6810674	578252	hunted	LT	1			Osmo Siilin		1	1	1	LT	1							
177			2013	Ruokolahti, Virtoinmäki	6810674	578252	hunted	LT	1			Osmo Siilin		1	1		LT	1							
178			2013	Ruokolahti, Lökkiö	6817935	592606	hunted	LT	1			Osmo Siilin		1	1		LT	1							
179			2013	Ruokolahti, Lökkiö	6817935	592606	hunted	LT	1			Osmo Siilin		1	1		LT	1							
180			2013	Ruokolahti, Vihniälä	6797006	597740	hunted	LT	1			Osmo Siilin		1	1		LT	1							1
181			2013	Ruokolahti, Vihniälä	6797006	597740	hunted	LT	1			Osmo Siilin		1	1		LT	1							
182			2013	Ristiina, Lintuniemi	6813497	516751	hunted	LE	5			Osmo Siilin		1	1		LE	1							
183			2013	Ristiina, Lintuniemi	6813497	516751	hunted	LT	1			Osmo Siilin		1	1	1	LT	1							
184			2013	Ristiina, Lintuniemi	6813497	516751	hunted	LT	1			Osmo Siilin		1	1	1	LT	1							
185			2013	Puumala, Lieviskä	6825098	591705	hunted	LT	1			Osmo Siilin		1	1		LT	1							
