#Testseq	
	
#S431_ArnicaRAD_TP1_1_S1	
Xba12-Eco02	CZE01_705
Xba01-Eco03	AM21_31
Xba02-Eco03	NOR01_1607
Xba03-Eco03	NOR01_1601
Xba04-Eco03	CZE01_701
Xba05-Eco03	LAG_LIF547
Xba06-Eco03	AM42_03
Xba07-Eco03	GER07_313
Xba08-Eco03	CZE01_715
Xba09-Eco03	CZE01_706
Xba10-Eco03	AM21_40
Xba11-Eco03	FRA02_123
Xba12-Eco03	SWE01_1423
Xba01-Eco04	ELS_LIF430
Xba02-Eco04	AUS01_989
Xba03-Eco04	GER07_320
Xba04-Eco04	PIND_06
Xba05-Eco04	LAG_LIF570
Xba06-Eco04	AM21_55
Xba07-Eco04	LAG_LIF577
Xba08-Eco04	SALD_06
Xba09-Eco04	ROM01_1800
Xba10-Eco04	NOR01_1605
Xba11-Eco04	PIND_07
Xba12-Eco04	GER03_315
Xba01-Eco05	COUT_02
Xba02-Eco05	AM104_04
Xba03-Eco05	FRA02_127
Xba04-Eco05	AM42_12
Xba05-Eco05	NOR01_1598
Xba06-Eco05	AM40_15
Xba07-Eco05	AM203_09
Xba08-Eco05	LAG_LIF537
Xba09-Eco05	AM101_25
Xba10-Eco05	AM46_04
Xba11-Eco05	AM204_12
Xba12-Eco05	AM204_21
Xba01-Eco06	AM40_05
Xba02-Eco06	AM46_20
Xba03-Eco06	AM46_01
Xba04-Eco06	AM102_11
Xba05-Eco06	AUS01_979
Xba06-Eco06	AM46_06
Xba07-Eco06	AM103_23
Xba08-Eco06	RIPO_09
Xba09-Eco06	AM103_16
Xba10-Eco06	AM46_03
Xba11-Eco06	AM103_24
Xba12-Eco06	AM204_17
Xba01-Eco07	AM103_13
Xba02-Eco07	NET01_1080
Xba03-Eco07	AM104_05
